Company,LTP (₹),Market Cap (Cr),Volume,Links,Ticker
Igarashi Motors India Ltd.,569.95,"1,794","42,611",https://www.etmoney.com/stocks/igarashi-motors-india-ltd/719,IGARASHI
Veranda Learning Solutions Ltd.,244.95,"1,787","6,90,104",https://www.etmoney.com/stocks/veranda-learning-solutions-ltd/4073,VERANDA
Somany Ceramics Ltd.,435.20,"1,785","84,529",https://www.etmoney.com/stocks/somany-ceramics-ltd/1255,SOMANYCERA
M M Forgings Ltd.,369.60,"1,784","25,965",https://www.etmoney.com/stocks/m-m-forgings-ltd/71,MMFL
HLE Glascoat Ltd.,260.70,"1,780","86,196",https://www.etmoney.com/stocks/hle-glascoat-ltd/1557,HLEGLAS
DAM Capital Advisors Ltd.,251.10,"1,775","10,17,504",https://www.etmoney.com/stocks/dam-capital-advisors-ltd/4972,DAMCAPITAL
Cosmo First Ltd.,673.80,"1,769","2,11,324",https://www.etmoney.com/stocks/cosmo-first-ltd/2217,COSMOFIRST
Sanstar Ltd.,96.34,"1,756","3,77,903",https://www.etmoney.com/stocks/sanstar-ltd/4821,SANSTAR
Amrutanjan Health Care Ltd.,606.65,"1,754","15,393",https://www.etmoney.com/stocks/amrutanjan-health-care-ltd/1037,AMRUTANJAN
Mold-Tek Packaging Ltd.,523.75,"1,740","42,852",https://www.etmoney.com/stocks/mold-tek-packaging-ltd/2506,MOLDTKPAC
Vindhya Telelinks Ltd.,"1,468.05","1,740","42,849",https://www.etmoney.com/stocks/vindhya-telelinks-ltd/2413,VINDHYATEL
Summit Securities Ltd.,"1,594.80","1,739","29,458",https://www.etmoney.com/stocks/summit-securities-ltd/2784,SUMMITSEC
Mangalore Chemicals & Fertilizers Ltd.,146.18,"1,732","2,41,855",https://www.etmoney.com/stocks/mangalore-chemicals-and-fertilizers-ltd/2362,MANGCHEFER
Arihant Superstructures Ltd.,420.75,"1,732","47,408",https://www.etmoney.com/stocks/arihant-superstructures-ltd/1308,ARIHANTSUP
Universal Cables Ltd.,498.30,"1,729","27,901",https://www.etmoney.com/stocks/universal-cables-ltd/1676,UNIVCABLES
TTK Healthcare Ltd.,"1,220.50","1,725","4,588",https://www.etmoney.com/stocks/ttk-healthcare-ltd/1518,TTKHLTCARE
Insecticides (India) Ltd.,577.85,"1,710","15,427",https://www.etmoney.com/stocks/insecticides-india-ltd/2043,INSECTICID
